date,unemployment benefits,food stamps,jobs near me,UNRATE,CCSA
2019-01-01,1.25,52.631578947368425,43.478260869565204,4.0,1779500
2019-02-01,0.0,13.157894736842103,26.08695652173914,3.8,1801500
2019-03-01,0.0,2.6315789473684177,13.043478260869577,3.8,1780200
2019-04-01,0.0,2.6315789473684177,30.43478260869564,3.7,1666500
2019-05-01,0.0,5.263157894736835,69.56521739130436,3.6,1628000
2019-06-01,0.0,7.89473684210526,86.95652173913042,3.6,1631000
2019-07-01,0.0,15.78947368421052,82.60869565217392,3.7,1631000
2019-08-01,0.0,10.526315789473685,89.1304347826087,3.6,1619600
2019-09-01,0.0,7.89473684210526,73.91304347826086,3.5,1581000
2019-10-01,0.0,5.263157894736835,71.73913043478261,3.6,1618500
2019-11-01,0.0,0.0,63.04347826086958,3.6,1685200
2019-12-01,0.0,5.263157894736835,45.652173913043484,3.6,1769500
2020-01-01,1.25,10.526315789473685,99.99999999999999,3.6,1800250
2020-02-01,0.0,2.6315789473684177,71.73913043478261,3.5,1770200
2020-03-01,45.0,50.0,32.60869565217392,4.4,3709750
2020-04-01,100.0,100.0,0.0,14.8,17032000
2020-05-01,53.75,39.473684210526315,39.1304347826087,13.2,20326400
2020-06-01,43.75,31.578947368421055,73.91304347826086,11.0,17678500
2020-07-01,50.0,28.94736842105263,78.26086956521739,10.2,16563000
2020-08-01,58.75,28.94736842105263,63.04347826086958,8.4,14013400
2020-09-01,36.25,23.684210526315788,65.21739130434783,7.8,11824250
2020-10-01,25.0,26.315789473684205,78.26086956521739,6.9,7871400
2020-11-01,20.0,23.684210526315788,54.347826086956516,6.7,5948250
2020-12-01,32.5,23.684210526315788,63.04347826086958,6.7,5384500
2021-01-01,33.75,42.10526315789474,82.60869565217392,6.4,4944600
2021-02-01,23.75,28.94736842105263,56.521739130434796,6.2,4431750
2021-03-01,27.5,18.421052631578945,36.95652173913042,6.1,3975250
2021-04-01,20.0,15.78947368421052,41.30434782608695,6.1,3788000
2021-05-01,22.5,23.684210526315788,65.21739130434783,5.8,3621600
2021-06-01,15.0,28.94736842105263,84.78260869565217,5.9,3298500
2021-07-01,15.0,31.578947368421055,82.60869565217392,5.4,3006800
2021-08-01,13.75,42.10526315789474,86.95652173913042,5.1,2782500
2021-09-01,11.25,39.473684210526315,76.08695652173914,4.7,2722250
2021-10-01,3.75,31.578947368421055,73.91304347826086,4.5,2357800
2021-11-01,2.5,28.94736842105263,52.173913043478265,4.1,1920250
2021-12-01,2.5,21.05263157894737,54.347826086956516,3.9,1716250
2022-01-01,3.75,34.21052631578948,69.56521739130436,4.0,1703000
2022-02-01,2.5,31.578947368421055,63.04347826086958,3.9,1634000
2022-03-01,1.25,26.315789473684205,65.21739130434783,3.7,1543500
2022-04-01,1.25,26.315789473684205,52.173913043478265,3.7,1432400
2022-05-01,1.25,26.315789473684205,63.04347826086958,3.6,1367000
2022-06-01,1.25,42.10526315789474,82.60869565217392,3.6,1365250
2022-07-01,1.25,39.473684210526315,76.08695652173914,3.5,1392600
2022-08-01,1.25,39.473684210526315,76.08695652173914,3.6,1417250
2022-09-01,1.25,44.73684210526315,49.999999999999986,3.5,1394500
2022-10-01,1.25,42.10526315789474,45.652173913043484,3.6,1411400
2022-11-01,1.25,28.94736842105263,34.78260869565217,3.6,1458000
2022-12-01,2.5,26.315789473684205,32.60869565217392,3.5,1566000
2023-01-01,3.75,31.578947368421055,78.26086956521739,3.5,1604000
2023-02-01,2.5,23.684210526315788,60.8695652173913,3.6,1646500
2023-03-01,2.5,18.421052631578945,65.21739130434783,3.5,1683250
2023-04-01,2.5,13.157894736842103,49.999999999999986,3.4,1716000
2023-05-01,3.75,18.421052631578945,82.60869565217392,3.6,1724500
2023-06-01,3.75,26.315789473684205,97.82608695652173,3.6,1760250
2023-07-01,3.75,28.94736842105263,73.91304347826086,3.5,1777200
2023-08-01,3.75,28.94736842105263,84.78260869565217,3.7,1806750
2023-09-01,3.75,26.315789473684205,71.73913043478261,3.7,1800200
2023-10-01,3.75,21.05263157894737,54.347826086956516,3.9,1810250
2023-11-01,2.5,15.78947368421052,52.173913043478265,3.7,1801000
2023-12-01,2.5,13.157894736842103,36.95652173913042,3.8,1796400
2024-01-01,2.5,18.421052631578945,73.91304347826086,3.7,1777250
2024-02-01,2.5,13.157894736842103,52.173913043478265,3.9,1793500
2024-03-01,1.25,7.89473684210526,41.30434782608695,3.9,1799000
2024-04-01,1.25,7.89473684210526,49.999999999999986,3.9,1783750
2024-05-01,1.25,10.526315789473685,71.73913043478261,3.9,1798750
2024-06-01,1.25,15.78947368421052,76.08695652173914,4.1,1841000
2024-07-01,2.5,18.421052631578945,71.73913043478261,4.2,1864000
2024-08-01,1.25,18.421052631578945,78.26086956521739,4.2,1854400
2024-09-01,1.25,15.78947368421052,56.521739130434796,4.1,1834750
2024-10-01,1.25,21.05263157894737,52.173913043478265,4.1,1870000
2024-11-01,1.25,10.526315789473685,36.95652173913042,4.2,1873800
2024-12-01,1.25,7.89473684210526,34.78260869565217,4.1,1861750
2025-01-01,2.5,26.315789473684205,73.91304347826086,4.0,1867750
2025-02-01,2.5,13.157894736842103,54.347826086956516,4.2,1860000
2025-03-01,2.5,5.263157894736835,52.173913043478265,4.2,1865200
2025-04-01,1.25,5.263157894736835,47.826086956521735,4.2,1874500
2025-05-01,1.25,7.89473684210526,60.8695652173913,4.3,1906600
2025-06-01,2.5,10.526315789473685,56.521739130434796,4.1,1950250
2025-07-01,2.5,15.78947368421052,56.521739130434796,4.3,1947250
2025-08-01,2.5,13.157894736842103,58.69565217391305,4.3,1941000
2025-09-01,2.5,10.526315789473685,36.95652173913042,4.4,1922750
2025-10-01,2.5,86.84210526315789,30.43478260869564,,1947500
2025-11-01,2.5,65.78947368421052,19.56521739130436,4.5,1932800
2025-12-01,3.75,7.89473684210526,28.26086956521739,4.4,1889250
2026-01-01,5.0,15.78947368421052,60.8695652173913,4.3,1852800
2026-02-01,5.0,7.89473684210526,56.521739130434796,4.4,1852500
2026-03-01,3.75,5.263157894736835,60.8695652173913,4.3,1821500
